CODIENS,CODMUNI,NOMENS,ADRECA,MUNICIPI,TELEFON,FAX,TRACTAMENT,NOM,COGNOM1,COGNOM2,PARTITPOL,SEXE,CARREC,CIF,COMARCA,CODCOMARCA,PROVINCIA,CODIPROV,CAPICOM,CENS,CODITIPUS,SUPERFICIE,NOMCURT,ARTICLE,NOMTIPUS,CODIPOSTAL,HORARI,DISSOLT,SIGLACOM,ALTURA,CODIPARE,TIPUSPARE,NOMPARE,E_MAIL,WEB,GENTILICI,LOCALITAT_CP,PARTIT_JUDICIAL,PARTIT_ELECTORAL,DELEGACIO_GOVERN,Y_UTM_ED50,X_UTM_ED50,MUNICAT,AMBIT,SITUA_GEO_MUNICIPI,SITUA_GEO_COMARCA,PLANOL_CARRERS,CP,SALUTACIO,DATA_ACTUALITZACIO,PAÍS,REGION
2500190004,25001,Ajuntament d'Abella de la Conca,"Espiguet, s/n",Abella de la Conca,973-664198,973-664198,Il.lm. Sr.,Francesc Xavier,Bernadó,Vilana,JIAB - AM,Alcalde,Alcalde President,P2500100I,Pallars Jussà,8102520002,Lleida,8002550006,N,181,2,78.21,Abella de la Conca,,Municipis,25651,,N,PJ,956,,,,ajuntament@abellaconca.ddl.net,http://abellaconca.ddl.net,,Abella de la Conca,Tremp,Tremp,Alt Pirineu i Aran,4669650,342450,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500190004,Alt Pirineu i Aran,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25001&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|25&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250019,250019,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
0800180001,08001,Ajuntament d'Abrera,"Pl. Constitució, 1",Abrera,93-7700325,93-7702612,Il·lm. Sr.,Jesus,Naharro,Rodríguez,PSC-CP,Alcalde,Alcalde President,P0800100J,Baix Llobregat,8101150006,Barcelona,8000840003,N,12216,2,19.98,Abrera,    ,Municipis,08630,,N,BT,105,,,,informacio@ajuntamentabrera.org,http://www.ajuntamentabrera.cat,abrerencs,Abrera,Martorell,Sant Feliu de Llobregat,Barcelona,4596983,408471,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=0800180001,Metropolità,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|08001&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|11&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=080018,80018,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
2500240003,25002,Ajuntament d'Àger,"Pl. Major, 1",Àger,973-455004,973-455203,Il·lm. Sr.,Lluís,Ardiaca,Montardit,IxA - AM,Alcalde,Alcalde President,P2500200G,Noguera,8102340003,Lleida,8002550006,N,602,2,161.08,Àger,    ,Municipis,25691,tots els dies de 9h-13h i de 17h-21h,N,NG,642,,,,ajuntament@ager.cat,http://ager.cat,agerencs,Àger,Balaguer,Balaguer,Lleida,4652600,314700,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500240003,Ponent,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25002&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|23&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250024,250024,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
2500300000,25003,Ajuntament d'Agramunt,"Pl. Església, 1",Agramunt,973-390057,973-390040,Il·lm. Sr.,Bernat,Solé,Barril,AD'E-AM,Alcalde,Alcalde President,P2500300E,Urgell,8103850006,Lleida,8002550006,N,5390,2,78.3,Agramunt,    ,Municipis,25310,,N,UR,337,,,,ajuntament@agramunt.cat,http://agramunt.cat,agramuntins,Agramunt,Balaguer,Balaguer,Lleida,4628075,342100,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500300000,Ponent,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25003&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|38&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250030,250030,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
0800230008,08002,Ajuntament d'Aguilar de Segarra,"Raval, s/n",Aguilar de Segarra,93-8366080,93-8366080,Il·lm. Sr.,Valentí,Riera,Vilaplana,CiU,Alcalde,Alcalde President,P0800200H,Bages,8100750006,Barcelona,8000840003,N,253,2,43.14,Aguilar de Segarra,    ,Municipis,08256,,N,BG,480,,,,aguilar@diba.cat,http://www.aguilardesegarra.cat,aguilanencs,Aguilar de Segarra,Manresa,Manresa,Catalunya Central,4621900,386250,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=0800230008,Comarques Centrals,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|08002&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|07&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=080023,80023,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
1700100000,17001,Ajuntament d'Agullana,"Lluís Gomis, 2",Agullana,972-535206,972-535086,Il·lma. Sra.,Marina,Gutés,Serra,ERC-AM,Alcaldessa,Alcaldessa Presidenta,P1700100I,Alt Empordà,8100220002,Girona,8001760009,N,841,2,27.49,Agullana,    ,Municipis,17707,de dilluns a divendres de 8h a 15h,N,AE,166,,,,ajuntament@agullana.cat,http://www.agullana.cat,agullanencs,Agullana,Figueres,Figueres,Girona,4693750,487450,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=1700100000,Comarques Gironines,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|17001&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|02&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=170010,170010,Benvolguda alcaldessa,06/06/2017,ESPAÑA,CATALUÑA
0801420002,08014,Ajuntament d'Aiguafreda,"Pl. Ajuntament, s/n",Aiguafreda,93-8442253,93-8442185,Il·lm. Sr.,Joan,Vila,Matabacas,CiU,Alcalde,Alcalde President,P0801400C,Vallès Oriental,8104190004,Barcelona,8000840003,N,2467,2,8,Aiguafreda,    ,Municipis,08591,,N,VR,404,,,,aiguafreda@aiguafreda.cat,http://www.aiguafreda.cat,aiguafredencs,Aiguafreda,Granollers,Granollers,Barcelona,4624410,438028,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=0801420002,Metropolità,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|08014&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|41&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=080142,80142,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
4300170005,43001,Ajuntament d'Aiguamúrcia,"Pl. Sant Bernat, 1",Aiguamúrcia,977-638301,977-638301,Il·lma. Sra.,Josefina,Bartolí,Parera,CiU,Alcaldessa,Alcaldessa Presidenta,P4300100G,Alt Camp,8100170005,Tarragona,8004330008,N,903,2,73.1,Aiguamúrcia,    ,Municipis,43815,Tots els dies de 8 a 15,N,AC,314,,,,aj.aiguamurcia@altanet.org,http://www.aiguamurcia.cat,aiguamurciencs,Santes Creus (Aiguamúrcia),El Vendrell,El Vendrell,Tarragona,4578725,363150,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=4300170005,Camp de Tarragona,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|43001&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|01&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=430017,430017,Benvolguda alcaldessa,06/06/2017,ESPAÑA,CATALUÑA
1700250006,17002,Ajuntament d'Aiguaviva,"Pl. Constitucional, 1",Aiguaviva,972235007,972235461,Il·lm. Sr.,Joaquim,Mateu,Bosch,PIA,Alcalde,Alcalde President,P1700200G,Gironès,8102060009,Girona,8001760009,N,763,2,13.97,Aiguaviva,    ,Municipis,17181,dilluns a divendres 8h-14h / dimarts i dijous 16h-19h,N,GN,169,,,,alcalde@aiguaviva.info,http://www.aiguaviva.info,,Aiguaviva,Girona,Girona,Girona,4643100,480450,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=1700250006,Comarques Gironines,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|17002&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|20&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=170025,170025,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
2503870005,25038,Ajuntament d'Aitona,"Major, 6",Aitona,973-794010,973-794500,Il·lma. Sra.,Maria Rosa,Pujol,Esteve,CiU,Alcaldessa,Alcaldessa Presidenta,P2504600D,Segrià,8103320002,Lleida,8002550006,N,2523,2,67.3,Aitona,    ,Municipis,25182,,N,SI,110,,,,ajuntament@ajuntamentaitona.cat,http://www.aitona.cat,aitonencs,Aitona,Lleida,Lleida,Lleida,4596950,287900,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2503870005,Ponent,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25038&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|33&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250387,250387,Benvolguda alcaldessa,06/06/2017,ESPAÑA,CATALUÑA
2500450006,25004,Ajuntament dels Alamús,"Pl. de la Creu, 2",Els Alamús,973-199006,973-199226,Il·lm. Sr.,Celestí,Panavera,Altisent,IxEA - AM,Alcalde,Alcalde President,P2500400C,Segrià,8103320002,Lleida,8002550006,N,799,2,20.4,Alamús,Els ,Municipis,25221,tots els dies de 8h a 15h,N,SI,212,,,,ajuntament@alamus.ddl.net,http://alamus.ddl.net,alamussencs,Els Alamús,Lleida,Lleida,Lleida,4609800,311750,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500450006,Ponent,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25004&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|33&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250045,250045,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
2500580001,25005,Ajuntament d'Alàs i Cerc,"Carrer Major, 10",Alàs i Cerc,973-352054,973-352788,Il·lma. Sra.,Mari Carmen,Ribó,Domenjó,CiU,Alcaldessa,Alcaldessa Presidenta,P2500500J,Alt Urgell,8100430008,Lleida,8002550006,N,350,2,57.62,Alàs i Cerc,    ,Municipis,25718,,N,AU,768,,,,ajuntament@alascerc.ddl.net,http://alascerc.ddl.net,,Alàs (Alàs i Cerc),La Seu d'Urgell,La Seu d'Urgell,Alt Pirineu i Aran,4690100,377225,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500580001,Alt Pirineu i Aran,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25005&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|04&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250058,250058,Benvolguda alcaldessa,06/06/2017,ESPAÑA,CATALUÑA
2500610007,25006,Ajuntament de l'Albagés,"Santiago Rusiñol, 9",L'Albagés,973-121129,973-121121,Il·lm. Sr.,Miguel Angel,Llimós,Ruiz,ACTIVEM,Alcalde,Alcalde President,P2500600H,Garrigues,8101890004,Lleida,8002550006,N,403,2,26.03,Albagés,  L',Municipis,25155,,N,GG,372,,,,ajuntament@albages.cat,http://albages.cat,albagencs,L'Albagés,Lleida,Lleida,Lleida,4591250,311250,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500610007,Ponent,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25006&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|18&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250061,250061,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
1700310007,17003,Ajuntament d'Albanyà,"Ctra. de Figueres, 13",Albanyà,972-569190,972-569190,Il·lm. Sr.,Joan,Fàbregas,Jordà,CiU,Alcalde,Alcalde President,P1700300E,Alt Empordà,8100220002,Girona,8001760009,N,147,2,93.34,Albanyà,    ,Municipis,17733,dimarts de 18h a 21h i divendres de 18h a 20h,N,AE,239,,,,ajuntament@albanya.cat,http://www.albanya.cat,albanyencs,Albanyà,Figueres,Figueres,Girona,4683900,477125,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=1700310007,Comarques Gironines,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|17003&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|02&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=170031,170031,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
2500770005,25007,Ajuntament d'Albatàrrec,"Carrer Dr. Robert, 51",Albatàrrec,973-720013,973-720606,Il·lm. Sr.,Victor,Falguera,Pascual,CiU,Alcalde,Alcalde President,P2500700F,Segrià,8103320002,Lleida,8002550006,N,2291,2,10.75,Albatàrrec,    ,Municipis,25171,tots els dies de 9h-14h,N,SI,147,,,,ajuntament@albatarrec.cat,http://www.albatarrec.cat,batarrencs,Albatàrrec,Lleida,Lleida,Lleida,4605350,300450,aplicacions.municat.gencat.cat/index.php?page=consulta&mostraEns=2500770005,Ponent,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Municipis&QUERY=CODI_INE|LIKE|25007&FIT=True,http://hipermapa.ptop.gencat.cat/hipermapa/hipermapa2_cat.asp?NOM_FLASH=aea_high.swf&QUERY_LAYER=Comarques&QUERY=COMARCA|LIKE|33&FIT=True&FILTER=True,http://mercuri.icc.cat/website/mob_nf/mob1/mob2/inici2.htm?&mun=250077,250077,Benvolgut alcalde,06/06/2017,ESPAÑA,CATALUÑA
