Year;Country;Region;Continent;Leap Year;Region-Geo;ChildrenPerWoman;CO2Emissions;DemocracyScore;IncomePerPerson;Incomeshareofpoorest10pct;Incomeshareofrichest10pct;Infantmortality;Inflation;Internetusers;LifeExpectancy;Literacyrateadulttotal;Literacyrateyouthtotal;Longtermunemploymentrate;Medianage;MedicalDoctors;Murder;Murderedmen;Murderedwomen;Número de registros;Oilconsumptionperperson;Populationdensity;Populationgrowth;Populationtotal;Poverty;Ratioofgirlstoboysinprimaryandsecondaryeducation;Renewablewater;Residentialelectricityuseperperson;Suicideage15to29;Taxrevenue;Teenfertilityrate;TotalGDPUS;TotalhealthspendingperpersonUS;Tradebalance;Trafficdeaths;Urbanpopulationgrowth;UrbanpopulationTotal;YearlyCO2emission
1952;Afghanistan;South Asia;Asia;[1952];Asia - Southern;7,671;0,01090342;-10;2338,335943;;;;;;27,448;;;;;;;;;1;;12,893;;8407148;;;;;;;;;;;;;;91,66666667
1952;Albania;Europe & Central Asia;Europe;[1952];Europe - Southern;6,071;0,294650131;-9;4803,168409;;;;;;54,876;;;;;;;;;1;;44,153;;1269302;;;;;;;;;;;;;;374
1952;Algeria;Middle East & North Africa;Africa;[1952];Africa - Northern;7,648;0,425993246;;7347,024556;;;;;;42,678;;;;;;;;;1;;3,838;;9140990;;;;;;;;;;;;;;3894
1952;Angola;Sub-Saharan Africa;Africa;[1952];Africa - Central;6,98;0,07253909;;10561,83082;;;;;;29,804;;;;;;;;;1;;3,446;;4296534;;;;;;;;;;;;;;311,6666667
1952;Antigua and Barbuda;America;Central and South America;[1952];America - Central;4,496;;;7661,639427;;;;;;58,284;;;;;;;;;1;;112,91;;49906;;;;;;;;;;;;;;
1952;Argentina;America;Central and South America;[1952];America - South;3,157;2,022216299;-9;17733,94516;;;65;;;62,32;;;;;;;;;1;;6,425;;17865382;;;;;;;62,4;;;;;;;36127,66667
1952;Armenia;Europe & Central Asia;Asia;[1952];Asia - Western;4,492;;-9;4217,465954;;;;;;62,602;;;;;;;;;1;;47,648;;1419913;;;;;;;;;;;;;;
1952;Aruba;America;Central and South America;[1952];America - Central;5,695;;;8195,001555;;;;;;60,01;;;;;;;;;1;;216,478;;38966;;;;;;;;;;;;;;
1952;Australia;East Asia & Pacific;Oceania;[1952];Oceania;3,181;7,002081852;10;30118,78691;;;24,2;;;69,12;;;;;;1,461196;1,906272;0,9769186;1;;1,112;;8604679;;;;;7,058182;;39,3;;;;24,82943;;;60250,66667
1952;Austria;Europe & Central Asia;Europe;[1952];Europe - Western;2,061;3,188072669;10;18411,22948;;;52;;;66,8;;;;;;;;;1;;82,633;;6929474;;;;;;;33,56;;;;;;;22091,66667
1952;Azerbaijan;Europe & Central Asia;Asia;[1952];Asia - Western;5,505;;-9;4322,023901;;;;;;57,754;;;;;;;;;1;;35,158;;3044695;;;;;;;;;;;;;;
1952;Bahamas;America;Central and South America;[1952];America - Central;4,021;0,945643898;;14695,80152;;;;;;59,824;;;;;;;;;1;;5,867;;81426;;;;;;;;;;;;;;77
1952;Bahrain;Middle East & North Africa;Asia;[1952];Asia - Western;6,973;10,76383952;;19734,16953;;;;;;42,459;;;;;;;;;1;;172,287;;119567;;;;;;;;;;;;;;1287
1952;Bangladesh;South Asia;Asia;[1952];Asia - Southern;6,331;;;1368,488343;;;225,4;;;43,376;;;;;;;;;1;;279,223;;40207573;;;;;;;;;;;;;;
1952;Barbados;America;Central and South America;[1952];America - Central;4,429;0,400752321;;7164,528737;;;145;;;56,95;;;;;;;;;1;;510,667;;219587;;;;;;;;;;;;;;88
1952;Belarus;Europe & Central Asia;Europe;[1952];Europe - Eastern;2,595;;-9;4831,544286;;;;;;65,692;;;;;;;;;1;;37,143;;7710974;;;;;;;;;;;;;;
1952;Belgium;Europe & Central Asia;Europe;[1952];Europe - Western;2,327;9,591278818;10;16686,21025;;;45;;;68;;;;;;;;;1;;285,316;;8710135;;;;;;;;;;;;;;83541,33333
1952;Belize;America;Central and South America;[1952];America - Central;6,66;0,35018305;;3515,530436;;;;;;55,644;;;;;;;;;1;;3,191;;73295;;;;;;;;;;;;;;25,66666667
1952;Benin;Sub-Saharan Africa;Africa;[1952];Africa - Western;5,829;;;2125,5044;;;202,9;;;33,467;;;;;;;;;1;;20,107;;2264492;;;;;;;;;;;;;;
1952;Bhutan;South Asia;Asia;[1952];Asia - Southern;6,67;;-10;1394,793827;;;;;;29,331;;;;;;;;;1;;3,836;;180287;;;;;;;;;;;;;;
1952;Bolivia;America;Central and South America;[1952];America - South;6,748;0,181740636;-4;5354,652694;;;;;;40,274;;;;;;;;;1;;2,571;;2824538;;;;;;;99,5;;;;;;;513,3333333
1952;Bosnia and Herzegovina;Europe & Central Asia;Europe;[1952];Europe - Southern;4,875;;-7;1947,06639;;;;;;53,165;;;;;;;;;1;;54,283;;2779107;;;;;;;;;;;;;;
1952;Botswana;Sub-Saharan Africa;Africa;[1952];America - South;6,492;;;1702,482281;;;;;;47,451;;;;;;;;;1;;0,752;;437177;;;;;;;;;;;;;;
1952;Brazil;America;Central and South America;[1952];America - South;6,149;0,434654088;5;4217,88871;;;;;;50,763;;;;;;;;;1;;6,744;;57422674;;;;;;;82,5;;;;;;;24959
1952;Brunei;East Asia & Pacific;Asia;[1952];Asia - South Eastern;7,074;5,966138467;;73360,07212;;;;;;57,54;;;;;;;;;1;;9,381;;54083;;;;;;;;;;;;;;322,6666667
1952;Bulgaria;Europe & Central Asia;Europe;[1952];Europe - Eastern;2,552;1,288567777;-7;4888,573296;;;98;;;59,6;;;;;;;;;1;;66,038;;7324411;;;;;;;51,974;;;;;;;9438
1952;Burkina Faso;Sub-Saharan Africa;Africa;[1952];Africa - Western;6,089;;;1086,510483;;;176,2;;;30,707;;;;;;;;;1;;15,956;;4371948;;;;;;;;;;;;;;
1952;Burundi;Sub-Saharan Africa;Africa;[1952];Africa - Eastern;6,798;;;678,5929174;;;;;;38,881;;;;;;;;;1;;91,641;;2550737;;;;;;;;;;;;;;
1952;Cambodia;East Asia & Pacific;Asia;[1952];Asia - South Eastern;6,946;;;1761,781752;;;;;;40,161;;;;;;;;;1;;25,165;;4555803;;;;;;;;;;;;;;
1952;Cameroon;Sub-Saharan Africa;Africa;[1952];Africa - Central;5,49;0,060923987;;2345,33531;;;;;;38,358;;;;;;;;;1;;9,747;;4634190;;;;;;;;;;;;;;282,3333333
1952;Canada;America;North America;[1952];America - North;3,617;10,98830305;10;22734,32225;;;37,1;;;68,75;;;;;;1,019474;1,32977;0,69775;1;;1,456;;14518772;;;;;4,111656;;;;;;20,83004;;;159536,6667
1952;Central African Republic;Sub-Saharan Africa;Central and South America;[1952];America - Central;5,491;;;2142,621425;;;;;;33,233;;;;;;;;;1;;;;1353471;;;;;;;;;;;;;;
1952;Chad;Sub-Saharan Africa;Africa;[1952];Africa - Central;6,09;;;2357,331854;;;;;;35,932;;;;;;;;;1;;1,962;;2519184;;;;;;;;;;;;;;
1952;Channel Islands;Europe & Central Asia;Europe;[1952];Europe - Northern;2,042;;;;;;;;;69,09;;;;;;;;;1;;531,354;;103614;;;;;;;;;;;;;;
1952;Chile;America;Central and South America;[1952];America - South;4,884;1,679108786;2;7879,957578;;;138,2;;;54,669;;;;;;;;;1;;8,355;;6321806;;;;;;;80;;;;;;;10615
1952;China;East Asia & Pacific;Asia;[1952];Asia - Eastern;5,973;0,221810341;-8;1184,03034;;;;;;40,405;;;;;;;;;1;;60,278;;578489714;;;;;;;101;;;;;;;128315
1952;Colombia;America;Central and South America;[1952];America - South;6,759;0,680641569;-5;4288,230192;;;111;;;50,157;;;;;;;;;1;;11,149;;12697334;;;;;;;128;;;;;;;8642,333333
1952;Comoros;Sub-Saharan Africa;Africa;[1952];Africa - Eastern;5,934;;;2205,981871;;;;;;40,553;;;;;;;;;1;;88,306;;164338;;;;;;;;;;;;;;
1952;Costa Rica;America;Central and South America;[1952];America - Central;6,677;0,379084177;10;5254,018942;;;;;;56,971;;;;;;;;;1;;20,064;;1025278;;;;;;;119,2;;;;;;;388,6666667
1952;Cote d'Ivoire;Sub-Saharan Africa;Africa;[1952];Africa - Western;6,736;;;2777,189463;;;;;;31,858;;;;;;;;;1;;8,662;;2793262;;;;;;;;;;;;;;
1952;Croatia;Europe & Central Asia;Europe;[1952];Europe - Southern;2,797;;-7;6238,47304;;;;;;61,024;;;;;;;;;1;;68,993;;3900723;;;;;;;;;;;;;;
1952;Cuba;America;Central and South America;[1952];America - Central;4,218;1,017943102;0;11173,07756;;;38;;;59,107;;;;;;;;;1;;55,723;;6177490;;;;;;;66,8;;;;;;;6288,333333
