Country;Continent;Sub Region;Year;GDP per Capita (Grouped);Life Expectancy (Grouped);C02 Emissions per Person (Tonnes);Child Mortality Rate (per 1000 births);GDP per Capita;Life Expectancy;Population Total
Afghanistan;Asia;Southern Asia;1960;<5000;0-40;0,0461;364;1210;38,6;9000000
Albania;Europe;Southern Europe;1960;<5000;>60;1,24;188;2790;62,7;1640000
Algeria;Africa;Northern Africa;1960;>= 5000 and <20000;>=50 and <= 60;0,554;245;6520;52;11100000
Andorra;Europe;Southern Europe;1960;>= 5000 and <20000;;;;15200;;13400
Angola;Africa;Middle Africa;1960;<5000;>=40 and < 50;0,0975;305;3860;42,4;5450000
Antigua and Barbuda;Americas;Caribbean;1960;<5000;>60;0,663;97,4;4420;62,9;54100
Argentina;Americas;South America;1960;>= 5000 and <20000;>60;2,37;73,3;9030;64,1;20500000
Armenia;Asia;Western Asia;1960;<5000;>60;1,35;117;2520;62;1870000
Australia;Oceania;Australia and New Zealand;1960;>= 5000 and <20000;>60;8,57;24,9;14300;71,3;10200000
Austria;Europe;Western Europe;1960;>= 5000 and <20000;>60;4,36;42,8;12100;68,7;7070000
Azerbaijan;Asia;Western Asia;1960;>= 5000 and <20000;>=50 and <= 60;6,26;131;5080;57,8;3900000
Bahamas;Americas;Caribbean;1960;>= 5000 and <20000;>60;3,75;39,4;14800;61,9;110000
Bahrain;Asia;Western Asia;1960;>= 20000 and <40000;>=50 and <= 60;3,54;199;22600;52,8;162000
Bangladesh;Asia;Southern Asia;1960;<5000;>=40 and < 50;0,0459;262;1060;43,8;48000000
Barbados;Americas;Caribbean;1960;<5000;>60;0,746;83,7;4990;64,5;231000
Belarus;Europe;Eastern Europe;1960;<5000;>60;4,63;45,8;3950;70,6;8120000
Belgium;Europe;Western Europe;1960;>= 5000 and <20000;>60;9,93;33,9;12600;69,6;9170000
Belize;Americas;Central America;1960;<5000;>60;0,478;136;2010;60,7;92100
Benin;Africa;Western Africa;1960;<5000;>=40 and < 50;0,0664;318;1190;41,1;2430000
Bhutan;Asia;Southern Asia;1960;<5000;>=40 and < 50;;344;951;41,7;223000
Bosnia and Herzegovina;Europe;Southern Europe;1960;<5000;>60;;125;1760;60,6;3230000
Botswana;Africa;Southern Africa;1960;<5000;>=50 and <= 60;;169;972;52,1;503000
Brazil;Americas;South America;1960;<5000;>=50 and <= 60;0,65;171;4440;56,8;72200000
Bulgaria;Europe;Eastern Europe;1960;<5000;>60;2,83;53,6;4860;69;7890000
Burkina Faso;Africa;Western Africa;1960;<5000;0-40;0,00911;344;659;38,6;4830000
Burundi;Africa;Eastern Africa;1960;<5000;>=40 and < 50;;252;645;42;2800000
Cambodia;Asia;South-Eastern Asia;1960;<5000;>=40 and < 50;0,041;256;1550;43,9;5720000
