Comunidad,Provincia,Población,Latitud,Longitud,Altitud,Habitantes,Hombres,Mujeres,Capital
Andalucía,Almería,Abla,"37,14114","-2,780104","871,1684",1504,783,721,No
Andalucía,Almería,Abrucena,"37,13305","-2,797098","976,9387",1341,682,659,No
Andalucía,Almería,Adra,"36,74807","-3,022522","10,97898",24373,12338,12035,No
Andalucía,Almería,Albánchez,"37,2871","-2,181163","481,3123",815,422,393,No
Andalucía,Almería,Alboloduy,"37,03319","-2,62175","388,4346",674,334,340,No
Andalucía,Almería,Albox,"37,38979","-2,147483","426,4268",11178,5731,5447,No
Andalucía,Almería,Alcolea,"36,97449","-2,961038","744,6956",908,486,422,No
Andalucía,Almería,Alcóntar,"37,33585","-2,596944","955,1331",603,315,288,No
Andalucía,Almería,Alcudia de Monteagud,"37,23598","-2,266174","1018,354",141,74,67,No
Andalucía,Almería,Alhabia,"36,9893","-2,587667","288,056",724,363,361,No
Andalucía,Almería,Alhama de Almería,"36,95742","-2,570075","523,1963",3779,1906,1873,No
Andalucía,Almería,Alicún,"36,9663","-2,601994","420,4872",254,130,124,No
Andalucía,Almería,Almería,"36,84016","-2,467922","27,00703",188810,92396,96414,Si
Andalucía,Almería,Almócita,"37,00236","-2,790071","831,1343",167,83,84,No
Andalucía,Almería,Alsodux,"37,002","-2,594579","312,0394",155,86,69,No
Andalucía,Almería,Antas,"37,24516","-1,917543","107,2613",3403,1724,1679,No
Andalucía,Almería,Arboleas,"37,35025","-2,074867","288,0828",4527,2281,2246,No
Andalucía,Almería,Armuña de Almanzora,"37,34969","-2,411396","625,5285",335,165,170,No
Andalucía,Almería,Bacares,"37,26083","-2,454761","1202,631",280,148,132,No
Andalucía,Almería,Bayárcal,"37,03116","-2,996469","1271,166",306,165,141,No
Andalucía,Almería,Bayarque,"37,33091","-2,43566","816,2208",230,122,108,No
Andalucía,Almería,Bédar,"37,18964","-1,981898","391,56",1014,517,497,No
Andalucía,Almería,Beires,"37,012","-2,790928","919,2347",126,64,62,No
Andalucía,Almería,Benahadux,"36,92587","-2,455683","113,9746",3940,1968,1972,No
Andalucía,Almería,Benitagla,"37,23124","-2,239107","945,0856",88,51,37,No
Andalucía,Almería,Benizalón,"37,21175","-2,241685","933,7475",286,145,141,No
Andalucía,Almería,Bentarique,"36,98652","-2,61942","319,8048",272,150,122,No
Andalucía,Almería,Berja,"36,84644","-2,949425","340,7863",15035,7542,7493,No
Andalucía,Almería,Canjáyar,"37,00973","-2,739681","607,9745",1506,768,738,No
Andalucía,Almería,Cantoria,"37,35259","-2,193626","388,6553",4016,2057,1959,No
Andalucía,Almería,Carboneras,"36,99659","-1,895012","6,721787",7964,4122,3842,No
Andalucía,Almería,Castro de Filabres,"37,18464","-2,439524","943,7071",161,83,78,No
Andalucía,Almería,Chercos,"37,26633","-2,257897","789,6791",295,148,147,No
Andalucía,Almería,Chirivel,"37,5956","-2,264839","1039,713",1854,928,926,No
Andalucía,Almería,Cóbdar,"37,26199","-2,210223","606,9962",188,99,89,No
Andalucía,Almería,Cuevas del Almanzora,"37,29709","-1,881476","97,29103",13025,6819,6206,No
Andalucía,Almería,Dalías,"36,82121","-2,870697","415,9644",3958,1957,2001,No
Andalucía,Almería,Ejido (El),"36,77506","-2,812738",80,84227,47263,36964,No
Andalucía,Almería,Enix,"36,87704","-2,602107","720,6339",484,271,213,No
Andalucía,Almería,Felix,"36,86892","-2,657921","822,4271",654,349,305,No
Andalucía,Almería,Fiñana,"37,17101","-2,840678","950,4163",2424,1217,1207,No
Andalucía,Almería,Fines,"37,35888","-2,262964","448,7018",2378,1259,1119,No
Andalucía,Almería,Fondón,"36,97942","-2,858356","858,4697",991,505,486,No
Andalucía,Almería,Gádor,"36,95393","-2,492936","169,0004",3244,1700,1544,No
Andalucía,Almería,Gallardos (Los),"37,16948","-1,940099","113,9905",3752,1940,1812,No
Andalucía,Almería,Garrucha,"37,17925","-1,821901","2,56615",8626,4496,4130,No
Andalucía,Almería,Gérgal,"37,1207","-2,538305","750,5009",1107,573,534,No
Andalucía,Almería,Huécija,"36,96788","-2,611436","410,0447",539,267,272,No
Andalucía,Almería,Huércal-Overa,"37,39063","-1,943684","284,6117",17645,8800,8845,No
Andalucía,Almería,Huércal de Almería,"36,88415","-2,435978","72,52909",14937,7623,7314,No
Andalucía,Almería,Illar,"36,98504","-2,639302","428,1185",436,232,204,No
Andalucía,Almería,Instinción,"36,99316","-2,659945","434,57",493,233,260,No
Andalucía,Almería,Laroya,"37,29667","-2,329601","854,0873",149,83,66,No
Andalucía,Almería,Láujar de Andarax,"36,99384","-2,88922","910,9894",1796,890,906,No
Andalucía,Almería,Líjar,"37,29527","-2,219928","593,4965",507,270,237,No
Andalucía,Almería,Lubrín,"37,21585","-2,067055","521,5203",1751,866,885,No
Andalucía,Almería,Lucainena de las Torres,"37,04179","-2,200706","533,8752",690,386,304,No
Andalucía,Almería,Lúcar,"37,39965","-2,427074","901,753",872,435,437,No
Andalucía,Almería,Macael,"37,33229","-2,304892","538,7327",6168,3174,2994,No
Andalucía,Almería,María,"37,7111","-2,165795","1196,435",1464,735,729,No
Andalucía,Almería,Mojácar,"37,13995","-1,851328","165,0597",7581,3822,3759,No
Andalucía,Almería,Mojonera (La),"36,75254","-2,688159","41,25403",8301,4512,3789,No
Andalucía,Almería,Nacimiento,"37,10497","-2,64774","596,8992",482,254,228,No
Andalucía,Almería,Níjar,"36,96576","-2,20651","353,1248",26516,14653,11863,No
Andalucía,Almería,Ohanes,"37,03723","-2,745168","953,4253",776,382,394,No
Andalucía,Almería,Olula de Castro,"37,17611","-2,476297","1054,839",207,106,101,No
Andalucía,Almería,Olula del Río,"37,35212","-2,298121","486,5961",6699,3466,3233,No
Andalucía,Almería,Oria,"37,48503","-2,295018","1038,982",2898,1519,1379,No
Andalucía,Almería,Padules,"36,99884","-2,773482","745,1029",491,248,243,No
Andalucía,Almería,Partaloa,"37,40604","-2,226434","548,585",872,437,435,No
Andalucía,Almería,Paterna del Río,"37,02088","-2,953087","1201,81",448,250,198,No
Andalucía,Almería,Pechina,"36,91667","-2,440625","107,5108",3690,1873,1817,No
Andalucía,Almería,Pulpí,"37,41183","-1,745502","194,9947",8182,4363,3819,No
Andalucía,Almería,Purchena,"37,34855","-2,36155","540,9984",1736,880,856,No
Andalucía,Almería,Rágol,"36,99564","-2,680989","404,8323",361,179,182,No
Andalucía,Almería,Rioja,"36,94406","-2,462424","133,2092",1389,702,687,No
Andalucía,Almería,Roquetas de Mar,"36,76427","-2,614935","11,84886",82665,43095,39570,No
Andalucía,Almería,Santa Cruz de Marchena,"37,0172","-2,603768","328,9739",232,119,113,No
Andalucía,Almería,Santa Fe de Mondújar,"36,97506","-2,530279","210,5975",485,246,239,No
Andalucía,Almería,Senés,"37,20457","-2,347544","1007,387",354,182,172,No
Andalucía,Almería,Serón,"37,34361","-2,508077","800,137",2385,1192,1193,No
Andalucía,Almería,Sierro,"37,32348","-2,398526","721,0729",451,226,225,No
Andalucía,Almería,Somontín,"37,39139","-2,389127","816,8105",529,268,261,No
Andalucía,Almería,Sorbas,"37,09841","-2,126351","391,5779",2854,1492,1362,No
Andalucía,Almería,Suflí,"37,3382","-2,389523","636,8499",279,146,133,No
Andalucía,Almería,Tabernas,"37,04945","-2,392681","405,9641",3627,1877,1750,No
Andalucía,Almería,Taberno,"37,46729","-2,076205","702,8022",1131,563,568,No
Andalucía,Almería,Tahal,"37,22803","-2,28497","1008,582",446,237,209,No
Andalucía,Almería,Terque,"36,98359","-2,597233","282,4351",457,229,228,No
Andalucía,Almería,Tíjola,"37,34551","-2,439434","685,379",3985,2012,1973,No
Andalucía,Almería,Tres Villas (Las),"37,13334","-2,7","693,0934",656,349,307,No
Andalucía,Almería,Turre,"37,15225","-1,894899","49,41454",3626,1876,1750,No
Andalucía,Almería,Turrillas,"37,03019","-2,264096","840,3381",224,126,98,No
Andalucía,Almería,Uleila del Campo,"37,18548","-2,203801","629,6137",1015,527,488,No
Andalucía,Almería,Urrácal,"37,39732","-2,36507","744,7553",354,170,184,No
Andalucía,Almería,Velefique,"37,19375","-2,403687","937,5716",300,162,138,No
Andalucía,Almería,Vélez-Blanco,"37,69095","-2,095682","1072,432",2259,1184,1075,No
Andalucía,Almería,Vélez-Rubio,"37,64802","-2,074232","842,2859",7150,3490,3660,No
Andalucía,Almería,Vera,"37,24686","-1,868238","102,0657",13985,7182,6803,No
Andalucía,Almería,Viator,"36,88963","-2,426541","74,79173",4860,2448,2412,No
Andalucía,Almería,Vícar,"36,83145","-2,642515","276,2602",22853,12114,10739,No
Andalucía,Almería,Zurgena,"37,34265","-2,039607","248,1582",3066,1518,1548,No
Andalucía,Cádiz,Alcalá de los Gazules,"36,46045","-5,723718","158,3963",5619,2852,2767,No
Andalucía,Cádiz,Alcalá del Valle,"36,90491","-5,173237","623,3366",5300,2697,2603,No
Andalucía,Cádiz,Algar,"36,65533","-5,657418","213,0833",1544,802,742,No
Andalucía,Cádiz,Algeciras,"36,12978","-5,447698","22,40544",116209,57582,58627,No
Andalucía,Cádiz,Algodonales,"36,88092","-5,405773","370,124",5732,2916,2816,No
Andalucía,Cádiz,Arcos de la Frontera,"36,75078","-5,812395","139,2057",31210,15642,15568,No
Andalucía,Cádiz,Barbate,"36,19282","-5,918903","15,97273",22912,11447,11465,No
Andalucía,Cádiz,Barrios (Los),"36,18539","-5,492747","25,33697",22311,11258,11053,No
Andalucía,Cádiz,Benalup-Casas Viejas,"36,34284","-5,8094","75,25459",7151,3618,3533,No
Andalucía,Cádiz,Benaocaz,"36,69952","-5,421263","792,0704",731,373,358,No
Andalucía,Cádiz,Bornos,"36,81459","-5,743362","153,5913",8134,4047,4087,No
Andalucía,Cádiz,Bosque (El),"36,75752","-5,506988","273,1861",2102,1090,1012,No
Andalucía,Cádiz,Cádiz,"36,52969","-6,292657","15,42415",126766,60289,66477,Si
Andalucía,Cádiz,Castellar de la Frontera,"36,28621","-5,419937","30,78278",3161,1601,1560,No
Andalucía,Cádiz,Chiclana de la Frontera,"36,41915","-6,149412","13,2455",77293,39050,38243,No
