Comunidad,Provincia,Población,Latitud,Longitud,Altitud,Habitantes,Hombres,Mujeres,Capital
Andalucía,Almería,Abla,37.14114,-2.780104,"871,1684",1504,783,721,No
Andalucía,Almería,Abrucena,37.13305,-2.797098,"976,9387",1341,682,659,No
Andalucía,Almería,Adra,36.74807,-3.022522,"10,97898",24373,12338,12035,No
Andalucía,Almería,Albox,37.38979,-2.147483,"426,4268",11178,5731,5447,No
Andalucía,Almería,Alhama de Almería,36.95742,-2.570075,"523,1963",3779,1906,1873,No
Andalucía,Almería,Almería,36.84016,-2.467922,"27,00703",188810,92396,96414,Si
Andalucía,Almería,Antas,37.24516,-1.917543,"107,2613",3403,1724,1679,No
Andalucía,Almería,Arboleas,37.35025,-2.074867,"288,0828",4527,2281,2246,No
Andalucía,Almería,Bédar,37.18964,-1.981898,"391,56",1014,517,497,No
Andalucía,Almería,Benahadux,36.92587,-2.455683,"113,9746",3940,1968,1972,No
Andalucía,Almería,Berja,36.84644,-2.949425,"340,7863",15035,7542,7493,No
Andalucía,Almería,Canjáyar,37.00973,-2.739681,"607,9745",1506,768,738,No
Andalucía,Almería,Cantoria,37.35259,-2.193626,"388,6553",4016,2057,1959,No
Andalucía,Almería,Carboneras,36.99659,-1.895012,"6,721787",7964,4122,3842,No
Andalucía,Almería,Chirivel,37.5956,-2.264839,"1039,713",1854,928,926,No
Andalucía,Almería,Cuevas del Almanzora,37.29709,-1.881476,"97,29103",13025,6819,6206,No
Andalucía,Almería,Dalías,36.82121,-2.870697,"415,9644",3958,1957,2001,No
Andalucía,Almería,Ejido (El),36.77506,-2.812738,80,84227,47263,36964,No
Andalucía,Almería,Fiñana,37.17101,-2.840678,"950,4163",2424,1217,1207,No
Andalucía,Almería,Fines,37.35888,-2.262964,"448,7018",2378,1259,1119,No
Andalucía,Almería,Gádor,36.95393,-2.492936,"169,0004",3244,1700,1544,No
Andalucía,Almería,Gallardos (Los),37.16948,-1.940099,"113,9905",3752,1940,1812,No
Andalucía,Almería,Garrucha,37.17925,-1.821901,"2,56615",8626,4496,4130,No
Andalucía,Almería,Gérgal,37.1207,-2.538305,"750,5009",1107,573,534,No
Andalucía,Almería,Huércal-Overa,37.39063,-1.943684,"284,6117",17645,8800,8845,No
Andalucía,Almería,Huércal de Almería,36.88415,-2.435978,"72,52909",14937,7623,7314,No
Andalucía,Almería,Láujar de Andarax,36.99384,-2.88922,"910,9894",1796,890,906,No
Andalucía,Almería,Lubrín,37.21585,-2.067055,"521,5203",1751,866,885,No
Andalucía,Almería,Macael,37.33229,-2.304892,"538,7327",6168,3174,2994,No
Andalucía,Almería,María,37.7111,-2.165795,"1196,435",1464,735,729,No
Andalucía,Almería,Mojácar,37.13995,-1.851328,"165,0597",7581,3822,3759,No
Andalucía,Almería,Mojonera (La),36.75254,-2.688159,"41,25403",8301,4512,3789,No
Andalucía,Almería,Níjar,36.96576,-2.20651,"353,1248",26516,14653,11863,No
Andalucía,Almería,Olula del Río,37.35212,-2.298121,"486,5961",6699,3466,3233,No
Andalucía,Almería,Oria,37.48503,-2.295018,"1038,982",2898,1519,1379,No
Andalucía,Almería,Pechina,36.91667,-2.440625,"107,5108",3690,1873,1817,No
Andalucía,Almería,Pulpí,37.41183,-1.745502,"194,9947",8182,4363,3819,No
Andalucía,Almería,Purchena,37.34855,-2.36155,"540,9984",1736,880,856,No
Andalucía,Almería,Rioja,36.94406,-2.462424,"133,2092",1389,702,687,No
Andalucía,Almería,Roquetas de Mar,36.76427,-2.614935,"11,84886",82665,43095,39570,No
Andalucía,Almería,Serón,37.34361,-2.508077,"800,137",2385,1192,1193,No
Andalucía,Almería,Sorbas,37.09841,-2.126351,"391,5779",2854,1492,1362,No
Andalucía,Almería,Tabernas,37.04945,-2.392681,"405,9641",3627,1877,1750,No
Andalucía,Almería,Taberno,37.46729,-2.076205,"702,8022",1131,563,568,No
Andalucía,Almería,Tíjola,37.34551,-2.439434,"685,379",3985,2012,1973,No
Andalucía,Almería,Turre,37.15225,-1.894899,"49,41454",3626,1876,1750,No
Andalucía,Almería,Uleila del Campo,37.18548,-2.203801,"629,6137",1015,527,488,No
Andalucía,Almería,Vélez-Blanco,37.69095,-2.095682,"1072,432",2259,1184,1075,No
Andalucía,Almería,Vélez-Rubio,37.64802,-2.074232,"842,2859",7150,3490,3660,No
Andalucía,Almería,Vera,37.24686,-1.868238,"102,0657",13985,7182,6803,No
Andalucía,Almería,Viator,36.88963,-2.426541,"74,79173",4860,2448,2412,No
Andalucía,Almería,Vícar,36.83145,-2.642515,"276,2602",22853,12114,10739,No
Andalucía,Almería,Zurgena,37.34265,-2.039607,"248,1582",3066,1518,1548,No
Andalucía,Cádiz,Alcalá de los Gazules,36.46045,-5.723718,"158,3963",5619,2852,2767,No
Andalucía,Cádiz,Alcalá del Valle,36.90491,-5.173237,"623,3366",5300,2697,2603,No
Andalucía,Cádiz,Algar,36.65533,-5.657418,"213,0833",1544,802,742,No
Andalucía,Cádiz,Algeciras,36.12978,-5.447698,"22,40544",116209,57582,58627,No
Andalucía,Cádiz,Algodonales,36.88092,-5.405773,"370,124",5732,2916,2816,No
Andalucía,Cádiz,Arcos de la Frontera,36.75078,-5.812395,"139,2057",31210,15642,15568,No
Andalucía,Cádiz,Barbate,36.19282,-5.918903,"15,97273",22912,11447,11465,No
Andalucía,Cádiz,Barrios (Los),36.18539,-5.492747,"25,33697",22311,11258,11053,No
Andalucía,Cádiz,Benalup-Casas Viejas,36.34284,-5.8094,"75,25459",7151,3618,3533,No
Andalucía,Cádiz,Bornos,36.81459,-5.743362,"153,5913",8134,4047,4087,No
Andalucía,Cádiz,Bosque (El),36.75752,-5.506988,"273,1861",2102,1090,1012,No
Andalucía,Cádiz,Cádiz,36.52969,-6.292657,"15,42415",126766,60289,66477,Si
Andalucía,Cádiz,Castellar de la Frontera,36.28621,-5.419937,"30,78278",3161,1601,1560,No
Andalucía,Cádiz,Chiclana de la Frontera,36.41915,-6.149412,"13,2455",77293,39050,38243,No
Andalucía,Cádiz,Chipiona,36.7408,-6.43587,"11,72497",18583,9307,9276,No
Andalucía,Cádiz,Conil de la Frontera,36.27675,-6.088436,"33,70992",20984,10628,10356,No
Andalucía,Cádiz,Espera,36.87319,-5.806213,"147,471",4003,1999,2004,No
Andalucía,Cádiz,Gastor (El),36.85509,-5.323623,"600,3022",1859,975,884,No
Andalucía,Cádiz,Grazalema,36.75837,-5.366071,"830,5287",2205,1141,1064,No
Andalucía,Cádiz,Jerez de la Frontera,36.68656,-6.137173,"55,74849",207532,101542,105990,No
Andalucía,Cádiz,Jimena de la Frontera,36.43404,-5.453479,"131,443",10431,5399,5032,No
Andalucía,Cádiz,Línea de la Concepción (La),36.16118,-5.348256,"10,4049",64595,31947,32648,No
Andalucía,Cádiz,Medina-Sidonia,36.46768,-5.927894,"246,0372",11683,6010,5673,No
Andalucía,Cádiz,Olvera,36.93525,-5.267688,"606,7288",8589,4244,4345,No
Andalucía,Cádiz,Paterna de Rivera,36.52333,-5.866053,"125,9705",5610,2875,2735,No
Andalucía,Cádiz,Prado del Rey,36.78968,-5.555545,"423,1529",5956,2971,2985,No
Andalucía,Cádiz,Puerto de Santa María (El),36.59695,-6.227526,"14,76373",87696,43320,44376,No
Andalucía,Cádiz,Puerto Real,36.52912,-6.191895,"11,78617",40183,20271,19912,No
Andalucía,Cádiz,Puerto Serrano,36.92159,-5.545621,"162,2749",7116,3621,3495,No
Andalucía,Cádiz,Rota,36.61699,-6.358202,"14,28653",28516,14300,14216,No
Andalucía,Cádiz,San Fernando,36.46572,-6.196626,"21,14313",96366,47536,48830,No
Andalucía,Cádiz,San José del Valle,36.60554,-5.798952,"142,0624",4403,2241,2162,No
Andalucía,Cádiz,San Roque,36.20975,-5.384572,"106,1072",29249,14793,14456,No
Andalucía,Cádiz,Sanlúcar de Barrameda,36.77882,-6.354198,"11,0011",65805,32843,32962,No
Andalucía,Cádiz,Setenil de las Bodegas,36.86406,-5.181413,"555,0465",2977,1532,1445,No
Andalucía,Cádiz,Tarifa,36.01271,-5.602954,"14,66109",17793,9079,8714,No
Andalucía,Cádiz,Trebujena,36.86951,-6.176695,"72,16942",6966,3535,3431,No
Andalucía,Cádiz,Ubrique,36.67771,-5.446557,"326,7233",16979,8362,8617,No
Andalucía,Cádiz,Vejer de la Frontera,36.25331,-5.962856,"178,6806",12973,6548,6425,No
Andalucía,Cádiz,Villamartín,36.86132,-5.641834,"167,8091",12526,6245,6281,No
Andalucía,Cádiz,Zahara,36.84053,-5.390547,"507,4048",1513,769,744,No
Andalucía,Córdoba,Adamuz,38.02736,-4.524873,"245,2438",4419,2267,2152,No
Andalucía,Córdoba,Aguilar de la Frontera,37.51503,-4.656057,"374,5963",13746,6891,6855,No
Andalucía,Córdoba,Alcaracejos,38.38823,-4.967684,"611,311",1528,757,771,No
Andalucía,Córdoba,Almedinilla,37.439,-4.091205,"643,6762",2522,1282,1240,No
Andalucía,Córdoba,Almodóvar del Río,37.80959,-5.019958,"119,838",7839,3935,3904,No
Andalucía,Córdoba,Añora,38.41099,-4.897461,"629,9739",1534,765,769,No
Andalucía,Córdoba,Baena,37.61441,-4.326089,"432,8641",20915,10589,10326,No
Andalucía,Córdoba,Belalcázar,38.57843,-5.167119,"492,9109",3466,1663,1803,No
Andalucía,Córdoba,Belmez,38.27234,-5.208753,"530,0388",3246,1574,1672,No
Andalucía,Córdoba,Benamejí,37.26732,-4.540418,"458,9315",5146,2563,2583,No
Andalucía,Córdoba,Bujalance,37.89657,-4.383588,"345,5078",7889,3911,3978,No
Andalucía,Córdoba,Cabra,37.47437,-4.425931,"503,6198",21352,10482,10870,No
Andalucía,Córdoba,Cañete de las Torres,37.86741,-4.318819,"320,6117",3144,1598,1546,No
Andalucía,Córdoba,Carcabuey,37.44359,-4.273436,"628,2857",2738,1380,1358,No
Andalucía,Córdoba,Cardeña,38.27047,-4.32373,"747,5234",1695,849,846,No
Andalucía,Córdoba,Carlota (La),37.67361,-4.932553,"215,4566",13182,6616,6566,No
